LOAN_NUMBER,SAMPLE_DATE,FILE_REQ_DATE,SECOND_REQUEST_DATE,SENT_TO_IMAGING_DATE,LENDER_RESPONSE_DUE_DATE,DATE_LOAN_FINALIZED,LENDER_ID,LENDER_NAME,LENDER_LOAN_ID,PROP_STATE,NEW_CONSTRUCTION_INDICATOR,CONDOMINIUM_INDICATOR,LOAN_ORIG_DATE, CURRENT_BALANCE ,FICO_SCORE,LTV, ORIG_VALUE , AVM_VALUE ,FIELD_REVIEW_VALUE_SUPPORTED,FIELD_REVIEW_VALUE,PURPOSE_CODE,OCCUPANCY_CODE,LENDER_INST_TYPE_DESCRIPTION,UNDERWRITER_NAME,REVIEW_DATE,REVIEW_STATUS,DEAL_NAME,START_DATE,
19457569,11/22/2010,11/25/2010,,,,1/24/2011,ZMFHQJ,"Wells Fargo Bank, N.A.",26291118,TX,No,No,8/24/2010," $247,050.00 ",111,90," $275,000.00 ",,N/A,,P,B,Bank Owned Mortgage Company - National,Mike Willams,1/13/2011,4,WFMBS 2006-5,6/1/2013,
16864087,4/3/2012,4/5/2012,4/20/2012,,,4/24/2012,NXYFBZ,"Wells Fargo Bank, N.A.",381247287,IN,No,No,10/26/2011," $119,000.00 ",620,85," $140,000.00 "," $142,226.00 ",,,R,B,Bank Owned Mortgage Company - National,Mike Willams,4/23/2012,4,WFMBS 2006-AR4,6/1/2013,
17137579,6/27/2012,6/27/2012,,7/13/2012,,7/20/2012,CKZGQU,Cobalt Mortgage Inc,38200028,WA,No,No,4/30/2012," $315,000.00 ",629,90," $350,000.00 ",,,,P,B,Mortgage Banker - Bank Owned,Mike Willams,7/20/2012,4,WFMBS 2006-AR4,6/1/2013,
20382551,10/8/2012,10/11/2012,,10/26/2012,,12/10/2012,DMYYBZ,McLean Mortgage Corporation,416297794,VA,No,No,7/18/2012," $303,050.00 ",636,95," $340,000.00 ",,N/A,,P,B,Mortgage Banker - Bank Owned,Eric Miller,11/30/2012,4,WFMBS 2006-5,6/1/2013,
23078618,10/4/2012,10/8/2012,,10/22/2012,,10/25/2012,WIXLJR,LoanCare Servicing Center Inc,6967335,TN,No,No,5/15/2012," $120,000.00 ",638,84.51000214," $142,000.00 "," $118,000.00 ",,,X,B,Mortgage Banker - (Large),Mike Willams,10/23/2012,4,WFMBS 2006-5,6/1/2013,
29210456,1/11/2013,1/16/2013,,2/5/2013,,,IGTRZI,Space Coast Credit Union,489771,FL,No,No,12/6/2012," $130,500.00 ",638,90," $147,000.00 ",,,,P,B,Credit Unions,,,,SEMT 2012-5,6/1/2013,
22740336,10/8/2012,10/10/2012,,10/16/2012,,11/9/2012,QUUVCY,Willow Bend Mortgage Company,415681006,TX,Yes,No,7/2/2012," $291,950.00 ",638,94.98000336," $312,000.00 ",,,,P,B,Mortgage Banker - Bank Owned,Allie Martin,10/26/2012,4,WFMBS 2006-AR4,6/1/2013,
25371753,7/3/2012,7/9/2012,7/24/2012,,,8/1/2012,UIYXMB,"Wells Fargo Bank, N.A.",408761666,MA,No,No,11/18/2011," $388,800.00 ",643,90," $435,000.00 "," $404,000.00 ",,,P,B,Bank Owned Mortgage Company - National,Mike Willams,8/1/2012,4,WFMBS 2006-5,6/1/2013,
32825998,10/8/2012,10/10/2012,10/25/2012,11/2/2012,,1/10/2013,BJKKUG,Bank of Utah,46120432,UT,No,No,8/16/2012," $265,500.00 ",645,90," $295,000.00 "," $274,612.00 ",,,R,B,Community Banks,Allie Martin,12/12/2012,4,WFMBS 2006-5,6/1/2013,
17654733,10/8/2012,10/10/2012,,10/19/2012,,11/8/2012,TRYNOF,Advancial Federal Credit Union,3262466,LA,No,No,9/8/2012," $194,750.00 ",647,95," $205,000.00 ",,,,P,B,Credit Unions,Allie Martin,11/8/2012,4,WFMBS 2006-5,6/1/2013,
26851834,3/15/2012,3/19/2012,,4/4/2012,6/12/2012,6/5/2012,OQIGIK,Amarillo National Bank,8006046686,TX,No,No,2/15/2012," $94,700.00 ",650,82.70999908," $114,500.00 ",,,,R,B,Community Banks,Allie Martin,5/15/2012,4,WFMBS 2006-AR4,6/1/2013,
27520805,1/11/2013,1/16/2013,,,,,DCSDJJ,Sunstreet Mortgage LLC,431642537,AZ,No,No,10/19/2012," $134,100.00 ",652,90," $149,000.00 ",,,,P,B,Mortgage Banker - Bank Owned,,,,WFMBS 2006-5,6/1/2013,
16992201,7/11/2012,7/12/2012,8/3/2012,8/22/2012,,10/2/2012,MQQAKE,Grow Financial Federal Credit Union,33073537,FL,No,No,6/25/2012," $59,400.00 ",654,90," $66,000.00 ",,N/A,,P,B,Credit Unions,Steve Winston,9/28/2012,4,WFMBS 2006-5,6/1/2013,
33532399,7/11/2012,7/12/2012,8/3/2012,8/10/2012,10/12/2012,10/31/2012,IJCSSZ,GTE Federal Credit Union,37282498,FL,No,No,4/2/2012," $112,500.00 ",655,83.33000183," $135,000.00 ",,N/A,,X,B,Credit Unions,Steve Winston,10/2/2012,4,WFMBS 2006-5,6/1/2013,
23108273,10/8/2012,10/11/2012,,10/24/2012,,12/13/2012,NMGTJR,MassMutual Federal Credit Union,W-113064,CT,No,No,8/6/2012," $315,000.00 ",655,94.02999878," $336,000.00 ",,,,P,B,Credit Unions,Rob Jacobs,11/14/2012,4,SEMT 2012-5,6/1/2013,
27044888,5/2/2012,5/24/2012,6/15/2012,,,6/25/2012,FSXMUU,Dovenmuehle Mortgage Inc,1425610373,CO,No,No,10/14/2011," $388,835.00 ",655,95," $412,000.00 "," $431,860.00 ",,,P,B,Mortgage Banker - Bank Owned,Mike Willams,6/25/2012,4,WFMBS 2006-AR4,6/1/2013,
29901595,6/27/2012,6/27/2012,7/19/2012,7/25/2012,,8/28/2012,RBFKCN,Mortgage Center LLC,410-0110017484,MI,No,No,3/13/2012," $77,100.00 ",656,91.79000092," $84,000.00 ",,N/A,,R,B,Credit Unions,Steve Winston,8/27/2012,4,WFMBS 2006-AR4,6/1/2013,
15742236,12/20/2011,12/22/2011,1/24/2012,2/8/2012,,3/19/2012,XYSWWN,Primary Residential Mortgage Inc,404101992,CA,No,No,10/13/2011," $352,800.00 ",658,90," $393,000.00 "," $329,591.00 ",,,P,B,Mortgage Banker - (Large),Allie Martin,3/12/2012,4,SEMT 2012-1,6/1/2013,
23636369,9/22/2011,9/22/2011,,,,10/18/2011,DXVLFQ,RPM MORTGAGE INC,603233686,CA,No,No,9/8/2011," $297,000.00 ",660,90," $330,000.00 ",,,,P,B,Mortgage Banker - Bank Owned,Mike Willams,9/28/2011,4,SEMT 2012-5,6/1/2013,
33596151,3/15/2012,3/19/2012,,4/10/2012,,5/15/2012,VKQQAB,Credit Union Mortgage Association,24173,VA,No,No,12/2/2011," $306,000.00 ",661,91.33999634," $335,000.00 ",,,,R,B,Credit Unions,Mike Willams,5/15/2012,4,WFMBS 2006-AR4,6/1/2013,
15791748,11/3/2011,11/8/2011,,11/15/2011,2/3/2012,2/17/2012,BPTFRD,Allied Home Mortgage Corp,18335430,AR,No,No,8/31/2011," $99,000.00 ",663,89.19000244," $111,000.00 "," $98,114.00 ",,,R,B,Mortgage Banker - (Large),Mike Willams,12/14/2011,4,WFMBS 2006-5,6/1/2013,
33538134,10/8/2012,10/11/2012,11/12/2012,11/21/2012,,1/16/2013,BBJDWM,Key Mortgage Services Inc,2012-02604,IL,No,Yes,9/20/2012," $76,500.00 ",663,90," $85,000.00 ",,N/A,,P,B,Mortgage Banker - Bank Owned,Eric Miller,1/16/2013,4,WFMBS 2006-AR4,6/1/2013,
20893302,10/1/2012,10/4/2012,,10/25/2012,,12/13/2012,BMMNFT,Discover Home Loans Inc,7300717,GA,No,No,8/7/2012," $222,700.00 ",664,89.08000183," $250,000.00 "," $230,404.00 ",N/A,,R,B,Mortgage Banker - Bank Owned,Steve Winston,11/29/2012,4,SEMT 2012-1,6/1/2013,
24013088,6/1/2010,8/16/2010,,,,9/30/2010,XQOJZA,Imortgage.Com Inc,640159485,CO,No,No,6/10/2009," $294,640.00 ",664,90,,,,,P,B,Mortgage Banker - Bank Owned,Allie Martin,9/30/2010,4,SEMT 2012-1,6/1/2013,
20571815,7/11/2012,7/12/2012,,7/25/2012,,8/30/2012,QIBHEX,InterLinc Mortgage Inc,412528424,KS,No,No,3/30/2012," $90,924.00 ",664,95," $101,000.00 ",,,,P,B,Mortgage Banker - Bank Owned,Allie Martin,8/20/2012,4,SEMT 2012-5,6/1/2013,
16995544,10/1/2012,10/5/2012,10/22/2012,10/23/2012,,11/13/2012,VPOOBT,Hallmark Home Mortgage LLC,603342380,IN,No,No,6/21/2012," $188,685.00 ",665,90," $210,000.00 ",,,,P,B,Mortgage Banker - Bank Owned,Mike Willams,11/12/2012,4,SEMT 2012-5,6/1/2013,
29473249,10/1/2012,10/4/2012,,10/25/2012,,12/13/2012,BLLMEC,Discover Home Loans Inc,7300258,MD,No,Yes,7/13/2012," $146,300.00 ",665,95," $154,000.00 ",,N/A,,P,B,Mortgage Banker - Bank Owned,Steve Winston,11/28/2012,4,WFMBS 2006-AR4,6/1/2013,
16678081,7/11/2012,7/12/2012,,7/30/2012,,8/1/2012,CNEUVN,Franklin American Mortgage Company,38936050,MA,No,No,5/17/2012," $152,000.00 ",665,95," $165,000.00 ",,N/A,,P,B,Mortgage Banker - (Large),Steve Winston,7/25/2012,4,SEMT 2012-5,6/1/2013,
28067291,11/5/2012,11/7/2012,,11/29/2012,,,VTVEBK,JPMorgan Chase Bank NA,1157561240,TX,Yes,No,1/9/2012," $336,286.00 ",665,95," $403,000.00 "," $386,509.00 ",,,P,B,Bank Owned Mortgage Company - National,Mike Willams,1/10/2013,1,WFMBS 2006-AR4,6/1/2013,
21677866,12/20/2011,1/3/2012,,1/25/2012,,2/24/2012,BXMYAK,First Niagara Bank NA,20070443,PA,No,No,11/23/2011," $140,000.00 ",666,84.08000183," $166,500.00 ",,,,R,B,Mortgage Banker - Bank Owned,Mike Willams,2/24/2012,4,WFMBS 2006-AR4,6/1/2013,
32244875,12/10/2012,12/11/2012,,12/13/2012,,1/21/2013,ZNUSNG,Wright Patt Credit Union,40364267,KY,No,No,10/30/2012," $81,000.00 ",666,87.44000244," $94,000.00 ",,N/A,,R,B,Credit Unions,Steve Winston,1/18/2013,4,WFMBS 2006-AR4,6/1/2013,
